Cycle, Iteration, PacketSize, B, C, R_last
6 , 15 , 2350 , 21 , 2982 , 1050
6 , 16 , 2350 , 22 , 2941 , 2350
6 , 17 , 3000 , 21 , 3086 , 2350
6 , 18 , 3000 , 20 , 3320 , 3000
6 , 19 , 3850 , 20 , 4106 , 3000
6 , 20 , 3850 , 21 , 4663 , 3850
6 , 21 , 3850 , 22 , 4762 , 3850
6 , 22 , 3850 , 22 , 3481 , 3850
6 , 23 , 3850 , 22 , 2778 , 3850
6 , 24 , 3850 , 22 , 1471 , 3850
6 , 25 , 3850 , 23 , 1845 , 3850
6 , 26 , 3850 , 23 , 950 , 3850
6 , 27 , 3850 , 23 , 200 , 3850
6 , 28 , 3850 , 26 , 1386 , 3850
6 , 29 , 3850 , 26 , 653 , 3850
6 , 30 , 3850 , 25 , 880 , 3850
