Time,Cycle,Iteration,PacketSize,B,C,R_last
40,7,9,3850,4,4880,3850
44,7,10,3850,4,4566,3850
48,7,11,3850,4,5030,3850
52,7,12,3850,3,4651,3850
56,7,13,235,3,3422,3850
60,7,14,3000,2,3796,235
64,7,15,3000,2,3155,3000
68,7,16,235,2,2904,3000
72,7,17,2350,2,2970,235
76,7,18,3000,1,3588,2350
80,7,19,3850,2,4785,3000
84,7,20,3850,1,6282,3850
88,7,21,3850,0,5694,3850
92,7,22,3850,0,5210,3850
96,7,23,3850,0,3992,3850
100,7,24,235,0,3471,3850
104,7,25,3000,0,3185,235
108,7,26,235,0,1817,3000
112,7,27,375,0,511,235
116,7,28,375,0,475,375
120,7,29,235,0,200,375
124,7,30,560,0,736,235
128,7,31,1050,1,1143,560
132,7,32,235,1,200,1050
136,7,33,750,4,981,235
140,7,34,2350,5,2386,750
144,7,35,235,5,1378,2350
148,7,36,1750,6,2177,235
152,7,37,235,7,1424,1750
156,7,38,2350,7,2584,235
160,7,39,3000,8,3045,2350
164,7,40,3850,7,3863,3000
168,7,41,235,7,2760,3850
172,7,42,1050,7,1738,235
176,7,43,235,7,903,1050
180,7,44,750,7,946,235
184,7,45,235,8,681,750
188,7,46,4300,8,200,235
192,7,47,235,7,377,4300
196,7,48,1050,10,1508,235
200,7,49,235,10,673,1050
204,7,50,1750,9,1794,235
208,7,51,2350,11,2990,1750
212,7,52,3000,11,3030,2350
216,7,53,235,10,2352,3000
220,7,54,1050,10,1206,235
224,7,55,1750,11,1936,1050
228,7,56,2350,12,2791,1750
232,7,57,3850,13,4097,2350
236,7,58,3850,14,5247,3850
240,7,59,3850,14,4677,3850
244,7,60,3850,13,4646,3850
248,7,61,3850,14,4828,3850
252,7,62,3850,13,6086,3850
256,7,63,3850,14,5319,3850
260,7,64,3850,14,4118,3850
264,7,65,235,14,3034,3850
268,7,66,1050,14,1736,235
272,7,67,235,14,382,1050
276,7,68,4300,14,200,235
280,7,69,235,14,737,4300
284,7,70,235,14,259,235
288,7,71,4300,14,200,235
292,7,72,235,13,737,4300
296,7,73,560,12,606,235
300,7,74,235,12,200,560
304,7,75,560,9,656,235
308,7,76,235,9,200,560
312,7,77,560,6,605,235
316,7,78,1050,5,1676,560
320,7,79,2350,6,2614,1050
324,7,80,235,6,1635,2350
328,7,81,1050,6,1273,235
332,7,82,235,6,851,1050
336,7,83,4300,6,200,235
340,7,84,235,11,1084,4300
344,7,85,1750,13,1802,235
348,7,86,235,13,1082,1750
352,7,87,560,13,621,235
356,7,88,560,13,566,560
360,7,89,235,13,414,560
4,8,0,1050,11,1120,235
8,8,1,235,11,761,1050
12,8,2,235,11,373,235
16,8,3,4300,11,200,235
20,8,4,235,19,1567,4300
24,8,5,1050,19,1429,235
28,8,6,235,19,219,1050
32,8,7,560,17,728,235
36,8,8,235,17,200,560
40,8,9,1050,14,1209,235
44,8,10,1750,14,2050,1050
48,8,11,235,14,1172,1750
52,8,12,375,14,483,235
56,8,13,235,14,200,375
60,8,14,4300,13,209,235
64,8,15,235,11,1605,4300
68,8,16,2350,11,2774,235
72,8,17,235,11,1952,2350
76,8,18,2350,12,2427,235
80,8,19,3000,13,3347,2350
84,8,20,235,12,2942,3000
88,8,21,2350,11,2974,235
92,8,22,3000,12,3584,2350
96,8,23,235,12,2431,3000
100,8,24,3000,11,3818,235
104,8,25,3850,10,5159,3000
108,8,26,235,10,3670,3850
112,8,27,1750,10,2188,235
116,8,28,3000,11,3011,1750
120,8,29,235,10,2304,3000
124,8,30,3000,9,3398,235
128,8,31,235,10,2255,3000
132,8,32,2350,9,2384,235
136,8,33,235,9,1467,2350
140,8,34,2350,10,2670,235
144,8,35,2350,9,2802,2350
148,8,36,235,9,1443,2350
152,8,37,1750,9,1993,235
156,8,38,235,9,1292,1750
160,8,39,4300,9,200,235
164,8,40,235,8,856,4300
168,8,41,750,8,758,235
172,8,42,235,8,200,750
176,8,43,750,9,883,235
180,8,44,750,10,977,750
184,8,45,1050,10,1385,750
188,8,46,1050,10,1172,1050
192,8,47,235,9,1015,1050
196,8,48,1750,10,2251,235
200,8,49,2350,10,2844,1750
204,8,50,3000,10,3433,2350
208,8,51,3850,9,4653,3000
212,8,52,235,9,3753,3850
216,8,53,2350,9,2509,235
220,8,54,3850,10,3942,2350
224,8,55,235,10,3380,3850
228,8,56,3850,9,4802,235
232,8,57,3850,8,5195,3850
236,8,58,3850,8,4231,3850
240,8,59,3850,9,4123,3850
244,8,60,3850,10,4436,3850
248,8,61,3850,11,3861,3850
252,8,62,235,12,2924,3850
256,8,63,1750,11,2017,235
260,8,64,2350,12,2740,1750
264,8,65,235,12,1268,2350
268,8,66,1750,11,2255,235
272,8,67,235,12,1566,1750
276,8,68,3000,11,3019,235
280,8,69,235,11,1569,3000
284,8,70,2350,10,2356,235
288,8,71,235,10,1390,2350
